,degree,strength,betweenness,closeness,eigenvector,katz,pagerank,hub,authority,clustering,kcore
BBTC.NS,199,54.02698677390841,7.624773979914167e-05,0.19690750974606253,0.04613129301642526,0.05299761919009225,0.0024820461773600285,0.0026941174514506444,0.002694117451450643,0.26070091197169526,158
BOSCHLTD.NS,187,51.705758930678286,0.0,0.19817945845399512,0.04373393680769087,0.04871574228851639,0.002354973448383351,0.0025541092536098577,0.0025541092536098572,0.26214617206891055,151
BRIGADE.NS,165,45.34838007243298,0.0,0.1955675299786992,0.040240847335024685,0.04397670660467296,0.0020943786192845685,0.0023501090469727317,0.0023501090469727334,0.2768638176487964,146
BRITANNIA.NS,12,4.340611516384078,1.0892534257020238e-05,0.11575452810956442,0.00010938702529476775,-0.007488134213422569,0.0010835822264165327,6.388320693807351e-06,6.388320693807355e-06,0.305702565689274,10
MAPMYINDIA.NS,13,3.205723956742431,0.0,0.1434420998566248,0.0033116378298887884,-0.0025680489084455626,0.00047100598521425114,0.0001934032342689985,0.00019340323426899855,0.31578406559018407,13
CCL.NS,0,0.0,,,,,,,,0.0,0
CESC.NS,294,97.58837255852835,0.004988780689715269,0.2482121122718911,0.07683126712539935,0.0723819150316135,0.004329129466856505,0.004487029173578633,0.004487029173578634,0.24433710085743585,158
CGPOWER.NS,153,41.80817935144856,6.535520554212142e-05,0.1861647049628694,0.03675137052980342,0.04003445946478773,0.001958003362305331,0.002146319824025274,0.0021463198240252754,0.275312900640337,139
CRISIL.NS,0,0.0,,,,,,,,0.0,0
CAMPUS.NS,98,25.272240453555707,0.0,0.1715912255885301,0.023325440479201952,0.024663936161469488,0.0013101684405076896,0.0013622309748702733,0.0013622309748702731,0.2913435307620816,95
CANFINHOME.NS,292,90.63492069998735,0.0007515848637343964,0.2376565488820102,0.0702621909417277,0.07129727560040261,0.00397738110200205,0.004103388013118702,0.0041033880131187,0.23026820811529033,158
CANBK.NS,321,119.21546413242781,0.010870749188506197,0.27401028242005104,0.09205765617137603,0.07544078339588725,0.005135636445354975,0.005376266777144978,0.005376266777144978,0.24202780426070575,158
CAPLIPOINT.NS,116,30.77582614159147,0.004760037470317844,0.17529532615670465,0.0254977996386966,0.02759060255325992,0.0018557752216463732,0.0014890991014655818,0.001489099101465581,0.25852184674494116,105
CGCL.NS,2,1.6240094766892872,0.0,0.09042371919058052,1.1353862610750886e-06,-0.0072698382576424385,0.0019030855749297489,6.63077867564753e-08,6.630778675648248e-08,0.9051233879060965,2
CARBORUNIV.NS,82,21.08226988330046,0.0,0.17078464295522044,0.020539290658291697,0.02028013717078209,0.0011399790410527256,0.001199516809191071,0.0011995168091910706,0.3026201716407567,82
CASTROLIND.NS,215,60.99282881454767,0.0,0.20532456619416448,0.05214446344034619,0.05787879334965448,0.0026881347870863818,0.0030452931137470427,0.0030452931137470423,0.26939630448023,158
CEATLTD.NS,64,16.584958831783172,0.0,0.1679006548874696,0.015831663476990387,0.013905289839018377,0.0009856287393642388,0.000924586285575541,0.0009245862855755409,0.29532960135089975,63
CENTRALBK.NS,291,99.78614146207552,0.0006753371239352548,0.2470882950569596,0.08001663430227957,0.07215077652935435,0.004225079164961861,0.004673058065018016,0.0046730580650180195,0.25305055063036935,158
CDSL.NS,302,94.20297092829496,0.0033657930854192534,0.24166596848135596,0.07175997076368651,0.07253158299617968,0.004162270416559809,0.004190859976138103,0.004190859976138104,0.22356859940020116,158
CENTURYPLY.NS,126,32.60176331599757,0.0,0.17386873744294234,0.02888168474733481,0.0327051688290949,0.001586539398677131,0.0016867216550246207,0.0016867216550246213,0.27451625247771316,121
CERA.NS,15,3.611354216383921,0.0,0.13780721791283976,0.003140431587686443,-0.002440236044498472,0.0004919697893089983,0.00018340460438558349,0.00018340460438558349,0.285929183938498,15
CHALET.NS,99,25.43905479302819,7.624773979914167e-05,0.17345660125154705,0.022091790082800503,0.022965481722543313,0.0014089650391172644,0.001290184456235931,0.00129018445623593,0.25755029999981655,93
CHAMBLFERT.NS,283,90.41988148291692,0.0009694355488748011,0.24117650095476317,0.07144720015061981,0.07024851167708816,0.003913474497906974,0.00417259383374613,0.004172593833746131,0.2432824920107826,158
CHENNPETRO.NS,137,38.79366441493505,0.0,0.18662962090548657,0.037613062885693806,0.03914454143559795,0.0017849145497902947,0.00219664359043172,0.0021966435904317207,0.32653193843120043,137
CHOICEIN.NS,278,82.1710744501532,0.0032786528113630917,0.22610694965810935,0.06447708990544843,0.06893769939472735,0.0037310716926454443,0.0037655318499564016,0.0037655318499564016,0.23052395710407106,158
CHOLAHLDNG.NS,24,6.202977494760729,0.0,0.152536183163846,0.00550848032755909,0.0001673449429984263,0.0005939061532369277,0.00032170121431812995,0.0003217012143181299,0.27914171914400376,24
CHOLAFIN.NS,151,42.32819173099975,0.00044659390453782974,0.1925819612643928,0.0346198677452223,0.03592865256794656,0.0021105767448145033,0.00202183775395386,0.0020218377539538593,0.2511384068782572,122
CIPLA.NS,17,5.318310095403369,0.0,0.13740719482452438,0.0012954634037616222,-0.00585687061522294,0.000758199669032155,7.56564651796593e-05,7.565646517965931e-05,0.3073714573049019,16
CUB.NS,201,57.52163245022095,0.0,0.2020256841442126,0.04976970959525243,0.054107918001612874,0.0025350068230893014,0.0029066049184109854,0.002906604918410985,0.2754907282845787,157
CLEAN.NS,116,30.324628809297952,0.0,0.1777669402051813,0.024837957017520205,0.027462066409259737,0.0015387062153358385,0.0014505635780782528,0.0014505635780782532,0.25394422295296676,106
COALINDIA.NS,292,100.06030876771142,0.00019606561662636427,0.2510713101163899,0.08031487327984999,0.07246849616753023,0.004235801230308316,0.004690475544165832,0.004690475544165832,0.25371798511148086,158
COCHINSHIP.NS,217,66.41657972994778,8.71402740561619e-05,0.21340589401113585,0.05734311872925531,0.05918821481480079,0.002899012338715866,0.0033489002104078566,0.0033489002104078545,0.28856987666790773,158
COFORGE.NS,64,19.92917648130728,0.00023963575365444523,0.17044850345598608,0.012091119390646343,0.008237515389402102,0.001256653984897505,0.0007061344616183877,0.0007061344616183883,0.24736126834002395,57
COLPAL.NS,21,6.407327314511092,0.0007951550007624774,0.13526164019828066,0.0011616969813183348,-0.0059185886195558006,0.0012250383291717865,6.78443613005362e-05,6.784436130053618e-05,0.15929151300051994,15
CAMS.NS,298,88.4710659170016,0.0007624773979914166,0.23158994283717874,0.06727466128496509,0.0724394225260651,0.0038753573318298646,0.003928913047022589,0.003928913047022594,0.21999900469825232,158
CONCOR.NS,302,101.38610997083826,0.0006535520554212142,0.2528399831588693,0.07956122007342095,0.0735306015069841,0.004350027631780638,0.004646461381045384,0.004646461381045387,0.24082857280884823,158
COROMANDEL.NS,199,54.318214840730285,1.0892534257020238e-05,0.19900612976024423,0.045498149549523276,0.051925382570187924,0.0024787397809222247,0.002657141187576025,0.002657141187576024,0.25456036069787324,157
CRAFTSMAN.NS,11,2.6558685433666733,0.0,0.14343211259327557,0.0024475885943669603,-0.0037817626473547203,0.00045406675513126035,0.00014294182354064312,0.00014294182354064312,0.2640819071589121,11
CREDITACC.NS,13,3.270461054134208,0.0,0.14743719398083002,0.002541274941384584,-0.0036141286185734853,0.000480705180399697,0.0001484132076263435,0.00014841320762634352,0.2616362216201715,13
CROMPTON.NS,95,24.71410117717649,0.0,0.17322555046376534,0.022515418995327517,0.023323307251962192,0.001295756540850648,0.0013149248433257036,0.0013149248433257036,0.2850427097482557,92
CUMMINSIND.NS,256,77.37906062002186,2.1785068514040475e-05,0.22460145041548654,0.06268301180559238,0.06448757529919287,0.0033841680172733484,0.003660755746751001,0.003660755746751002,0.24545801233789305,158
CYIENT.NS,101,26.25693709030565,0.0,0.16685016768229438,0.021334784251917586,0.021770704707104502,0.0014315855198098414,0.0012459744962180018,0.0012459744962180015,0.24269166163847822,89
DCMSHRIRAM.NS,42,10.428703580246076,0.0,0.15576322193145234,0.010432736780824962,0.007294555365527405,0.000739534302273624,0.0006092831219277515,0.0006092831219277515,0.3066533454041688,42
DLF.NS,359,127.1743849321597,0.06946169095701805,0.2888165151829577,0.0897154397110178,0.07715154353022978,0.005878939950403659,0.005239478800300722,0.005239478800300726,0.20000080294305778,158
DABUR.NS,17,5.565796493334485,0.00045748643879484996,0.12991742558048944,0.0007544972267049039,-0.006464763061234342,0.0011918303888072228,4.4063454818252086e-05,4.406345481825211e-05,0.20683802717142252,12
